BOE_Prodoction_2 year cum,BOE_Production_6mon cum,TOC,Permeability...d.,Brittleness,Porosity,Thickness,Vclay,TVD,Surf.Lat,Surf.Lon,Lateral..ft.,GPI (gross perforated interval ft),Proppant.per.GPI..lb.ft.,Fluid.per.GPI..gal.ft.,Total.Proppant.Volume,Total.Fluid,API.Gravity,Fluid.Type
375171,132279.5,3.45,0.39,28.6,0.078,121,0.21,11061,28.75494,-98.1047,7580,7275,1496.907216,838.3267354,10890000,6098827,52,XLINK
203564.5,43116,3.36,0.36,29.1,0.076,118,0.21,11030,28.7626,-98.10198,6590,6078,1427.114182,643.2418559,8674000,3909624,53,XLINK
127874,40157.5,2.97,0.25,29.9,0.068,103,0.23,10986,28.83693,-98.06883,7602,6947,2356.700734,1194.0642,16372000,8295164,45,XLINK
51548.5,1902,3.74,0.38,24.9,0.082,128,0.3,10482,29.01584,-97.86242,5084,4764,2526.868178,2241.804366,12038000,10679956,40,GEL
142119,960,2.77,0.18,28.7,0.063,125,0.27,10232,28.56119,-98.58158,6906,6333,1675.66714,1514.828517,10612000,9593409,39,SLKW
39163.5,960,2.77,0.18,28.7,0.063,125,0.28,10227,28.56128,-98.58138,6873,6295,1652.74027,1552.352025,10404000,9772056,39,SLKW
279445.5,960,4.02,0.61,24.5,0.087,174,0.27,13099,29.03515,-97.61463,5861,5310,2050.847458,1154.283992,10890000,6129248,58,XLINK
92573,960,2.77,0.18,28.7,0.063,125,0.27,10228,28.56123,-98.58148,6848,6097,1642.119075,1556.197474,10012000,9488136,39,SLKW
271987,960,4.02,0.61,24.5,0.087,174,0.27,13101,29.03517,-97.61467,6011,5326,1969.207661,1112.167856,10488000,5923406,58,XLINK
195668.5,20619,2.79,0.22,30.3,0.064,118,0.25,10339,28.66016,-98.41229,7056,6898,1601.33372,1518.392433,11046000,10473871,40,XLINK
135928.5,22338,2.79,0.22,30.3,0.064,118,0.25,10334,28.66016,-98.4122,7495,7301,1577.866046,1557.071223,11520000,11368177,40,XLINK
125960,23602.5,2.79,0.22,30.3,0.064,118,0.25,10324,28.66016,-98.41216,7943,7688,1598.074922,1532.350676,12286000,11780712,39,XLINK
44355.5,6565.5,4.09,0.56,27.6,0.088,196,0.21,5598,28.3887,-100.02094,10248,9222,55.34200824,41.85881588,510364,386022,42,XLINK
36757,6565.5,4.09,0.56,27.6,0.088,196,0.21,5603,28.3887,-100.02088,10178,8350,2073.293413,1806.842156,17312000,15087132,42,XLINK
234876.5,157307,4.4,0.67,26,0.095,175,0.22,6500,28.24682,-99.95312,5810,6953,1652.811736,800.0745002,11492000,5562918,50,XLINK
265964,165793,4.4,0.67,26,0.095,175,0.22,6501,28.24666,-99.95311,6174,7080,1622.59887,753.0258475,11488000,5331423,50,XLINK
197096,103707,3.54,0.38,26.4,0.079,150,0.25,10569,29.21514,-97.55205,4987,5052,2367.379256,2003.745843,11960000,10122924,94,SLKW
177586,84076.5,3.54,0.38,26.4,0.079,150,0.25,10578,29.21524,-97.55206,4823,4877,2288.291983,2024.56018,11160000,9873780,44,SLKW
143626.5,81406,3.29,0.43,27.9,0.073,122,0.25,9134,28.47091,-99.11092,8907,8351,1545.204167,1544.258173,12904000,12896100,43,XLINK
180575,73377.5,3.42,0.44,27.9,0.075,112,0.24,8445,28.54406,-99.09157,5125,8046,646.5324385,769.5309471,5202000,6191646,42,XLINK
168960,70021.5,3.42,0.44,27.9,0.075,112,0.24,8452,28.54413,-99.09153,7902,8411,665.5570087,829.5823327,5598000,6977617,42,XLINK
207624,105405,3.55,0.38,25.1,0.079,153,0.25,11229,29.2293,-97.50511,3428,3570,2588.235294,2367.943697,9240000,8453559,45,SLKW
163923,59099,2.31,0.09,30.6,0.053,97,0.28,8554,29.15658,-97.76689,6919,7188,2085.698386,1624.414858,14992000,11676294,37,SLKW
161822.5,61738.5,2.31,0.09,30.6,0.053,97,0.28,8547,29.1566,-97.76678,7020,7265,2180.316586,1687.301583,15840000,12258246,38,SLKW
105963.5,38135,2.31,0.09,30.6,0.053,97,0.28,8564,29.15656,-97.76698,6771,7002,2112.824907,1686.538132,14794000,11809140,37,SLKW
153729,79658.5,3.53,0.38,26.4,0.079,150,0.25,10572,29.21533,-97.55204,4803,4893,2333.537707,1925.296137,11418000,9420474,44,SLKW
156992,73076.5,3.92,0.59,25.4,0.086,142,0.26,11743,29.06465,-97.70328,3099,3141,2004.457179,1438.968481,6296000,4519800,45,XLINK
521013,324724,3.44,0.4,27.3,0.076,132,0.27,10666,29.08551,-97.74376,5878,5946,3083.753784,2410.535822,18336000,14333046,43,SLKW
270874,151540,3.55,0.39,25.1,0.079,153,0.25,11232,29.22934,-97.50502,3478,3499,2416.690483,2395.489854,8456000,8381819,45,SLKW
374796.5,233416,3.44,0.4,27.3,0.076,132,0.27,10635,29.08546,-97.74384,5239,5247,3087.859729,2492.264151,16202000,13076910,43,SLKW
169796.5,76344.5,4.32,0.71,26.7,0.093,158,0.21,7039,28.2231,-99.91233,7258,7264,991.4647577,584.7617015,7202000,4247709,53,XLINK
132577,85265,3.92,0.59,25.4,0.086,142,0.26,11735,29.06463,-97.70334,2930,2931,1780.279768,1210.300239,5218000,3547390,45,XLINK
223238.5,117249.5,3.55,0.39,25.1,0.079,153,0.25,11226,29.22935,-97.50493,3561,3556,2156.917885,2253.497469,7670000,8013437,46,SLKW
193198,99630.5,3.07,0.28,27.9,0.068,83,0.28,8836,28.75879,-98.50584,9424,9311,1537.965847,1483.52787,14320000,13813128,35,SLKW
138680,61060.5,2.6,0.03,16.6,0.057,389,0.45,8294,30.56254,-96.5117,7987,7872,3696.392276,3163.360772,29098000,24901976,41,XLINK
151707,79887.5,3.84,0.59,29.4,0.084,133,0.2,7296,28.07009,-99.93343,7895,7728,1502.329193,800.1415631,11610000,6183494,53,XLINK
